lemma,pos,cefr_level,cefr_source,frequency_rank,topic_hint,in_tsl,tsl_rank,ngsl_rank,bsl_rank
gourmet,adjective,C1,octanove,,,no,,,
gourmet,noun,C1,octanove,,,no,,,
graft,verb,C1,octanove,,,no,,,
grapefruit,noun,C1,octanove,,,no,,,
grounds,noun,C1,octanove,,,no,,,
gruelling,adjective,C1,octanove,,,no,,,
gruesome,adjective,C1,octanove,,,no,,,
gruesomely,adverb,C1,octanove,,,no,,,
grumble,verb,C1,octanove,,,no,,,
gush,verb,C1,octanove,,,no,,,
gush,noun,C1,octanove,,,no,,,
gushing,adjective,C1,octanove,,,no,,,
gushingly,adverb,C1,octanove,,,no,,,
gusto,noun,C1,octanove,,,no,,,
gutsy,adjective,C1,octanove,,,no,,,
gypsy,noun,C1,octanove,,,no,,,
hack,verb,C1,octanove,,,no,,,
hack,noun,C1,octanove,,,no,,,
haggle,verb,C1,octanove,,,no,,,
hanging,noun,C1,octanove,,,no,,,
harass,verb,C1,octanove,,,no,,,
harassment,noun,C1,octanove,,,no,,,
headstrong,adjective,C1,octanove,,,no,,,
hedgehog,noun,C1,octanove,,,no,,,
heifer,noun,C1,octanove,,,no,,,
heighten,verb,C1,octanove,,,no,,,
heroine,noun,C1,octanove,,,no,,,
hibernate,verb,C1,octanove,,,no,,,
hibernation,noun,C1,octanove,,,no,,,
homely,adjective,C1,octanove,,,no,,,
honk,verb,C1,octanove,,,no,,,
honk,noun,C1,octanove,,,no,,,
hostess,noun,C1,octanove,,,no,,,
humble,verb,C1,octanove,,,no,,,
hypocrisy,noun,C1,octanove,,,no,,,
hypocrite,noun,C1,octanove,,,no,,,
hypocritical,adjective,C1,octanove,,,no,,,
hypocritically,adverb,C1,octanove,,,no,,,
immense,adjective,C1,octanove,,,no,,,
immensely,adverb,C1,octanove,,,no,,,
immortalize,verb,C1,octanove,,,no,,,
imp,noun,C1,octanove,,,no,,,
impede,verb,C1,octanove,,,no,,,
impediment,noun,C1,octanove,,,no,,,
impersonal,adjective,C1,octanove,,,no,,,
impersonally,adverb,C1,octanove,,,no,,,
impersonate,verb,C1,octanove,,,no,,,
